	nG	nO	N	t
0	1.0	1.0	10.0	0.0
1	22252094.392360084	23307322.934579063	9.832066607051058	0.09125456272813641
2	23028296.850376956	25354440.270716045	9.656319455305095	0.18250912545627282
3	23831314.92288558	27578651.51579442	9.47205339306558	0.2737636881844092
4	24662041.55778811	29994775.64688633	9.278512744669388	0.36501825091254564
5	25521393.636961758	32618759.649691008	9.074888575043952	0.45627281364068206
6	26410311.31103027	35467741.55913764	8.86031576554383	0.5475273763688184
7	27329756.973576523	38560096.959423244	8.633870881009958	0.6387819390969549
8	28280713.69130171	41915482.408444315	8.394570204477427	0.7300365018250913
9	29264182.934081286	45554860.99535625	8.141368639165801	0.8212910645532276
10	30281181.35129753	49500503.6073857	7.8731597888725	0.9125456272813641
11	31333473.240392253	53778301.21590587	7.588633951630479	1.0038001900095006
12	32438966.575622313	58469562.49893997	7.283144282797199	1.0950547527376369
13	33582330.383904666	63551246.6295529	6.958461013316838	1.1863093154657733
14	34764629.1118489	69050917.77611053	6.613230152500549	1.2775638781939098
15	35986890.21555329	74996456.14080456	6.246085081059698	1.368818440922046
16	37250075.79385748	81415310.29469606	5.8556827605011375	1.4600730036501826
17	38555040.2507648	88333329.46848321	5.440760199136541	1.551327566378319
18	39902465.15467199	95772926.3094945	5.0002232310525905	1.6425821291064553
19	41292756.222737275	103750165.16785565	4.533287210470295	1.7338366918345918
20	42725872.371616475	112270009.22408423	4.039706806604525	1.8250912545627282
21	44201030.272833556	121318391.79457478	3.520159828465407	1.9163458172908645
22	45718231.713970065	130858611.67910211	2.976344439496042	2.007600380019001
23	47294461.81682201	140892835.91849098	2.407355007352898	2.0988549427471375
24	48897984.78047366	151093680.3084437	1.829934786209583	2.1901095054752737
25	50508138.04998058	161026518.42736515	1.2653181700774345	2.2813640682034104
26	52076470.189698	169852596.41552663	0.7548959628836511	2.3726186309315467
27	53483362.48257903	176176055.00056985	0.3693734443836523	2.463873193659683
28	54506883.53144556	178909078.6565064	0.16983577168626998	2.5551277563878196
29	55086258.95619502	179114605.3680894	0.10948133713501478	2.646382319115956
30	55464160.41282051	178501329.11354458	0.09725391371242735	2.737636881844092
31	55797089.84362469	177726325.86103615	0.095192115171936	2.828891444572229
32	56124273.67243879	176929006.92107964	0.094952383844534	2.920146007300365
33	56454800.49391087	176137499.02104762	0.09478756862640467	3.0114005700285014
34	56795049.44629593	175357849.41362372	0.0941074009279068	3.102655132756638
35	57135075.27108307	174574411.3618357	0.09409370625855346	3.1939096954847743
36	57477656.29969336	173796108.4444001	0.09418992976971961	3.2851642582129106
37	57823259.134250395	173024290.9334396	0.09430077734637385	3.3764188209410473
38	58171950.74407406	172259020.2076857	0.09440994177454409	3.4676733836691835
39	58523728.95550307	171500140.85972932	0.09451465490095022	3.55892794639732
40	58878579.541578315	170747465.3168253	0.09461449708134197	3.6501825091254565
41	59236486.283361554	170000805.91918743	0.09470943423681241	3.7414370718535928
42	59597431.96143992	169259973.03080806	0.09479952247174096	3.832691634581729
43	59961399.59907186	168524785.72964472	0.09488480949958147	3.9239461973098657
44	60330782.24972518	167799070.03589335	0.0946664678274414	4.015200760038002
45	60709449.79891697	167081703.70583108	0.09400809966103355	4.106455322766139
46	61087815.93826175	166359810.709166	0.09394793721612993	4.197709885494275
47	61468587.55617296	165641169.3669041	0.0939886053137958	4.288964448222411
48	61852227.01519771	164927003.43461832	0.09404325752397849	4.380219010950547
49	62238800.80767023	164217398.7484206	0.09409675927424604	4.471473573678684
50	62628305.57624293	163512246.02302352	0.09414649851105829	4.562728136406821
51	63020725.40168761	162811405.001941	0.09419207355575121	4.653982699134957
52	63416042.441568054	162114736.3956226	0.09423345407023086	4.745237261863093
53	63814237.356775284	161422096.67483833	0.09427069249814189	4.83649182459123
54	64215291.34641981	160733352.05158344	0.09430384199747902	4.927746387319366
55	64622265.84864171	160052833.4078661	0.0939813742813153	5.019000950047502
56	65037712.02273377	159377083.19454008	0.09333915261623393	5.110255512775639
57	65452710.70620228	158696351.51934156	0.09324039968327866	5.2015100755037755
58	65869939.68825529	158017490.4330288	0.09323419639039954	5.292764638231912
59	66289857.68652396	157341605.49131623	0.09324120768114909	5.384019200960048
60	66712528.95761704	156668796.90405595	0.09324751547272536	5.475273763688184
61	67137947.53593075	155998990.84277016	0.09325070890831276	5.566528326416321
62	67566094.96453565	155332086.6853179	0.09325041570579376	5.657782889144458
63	67996950.25366725	154667980.81451118	0.09324660240204977	5.749037451872594
64	68430491.28888215	154006569.9143836	0.09323932611112709	5.84029201460073
65	68866696.64476417	153347758.0755132	0.09322864523000254	5.9315465773288665
